ID,Номер группы,Год создания группы,Порядковый номер группы,Id Образовательной программы,Дата начала обучения,Дата окончания обучения,Максимальное количество обучающихся,Текущее количество обучающихся,Состояние,Курс в Moodle,Id чата группы,Форма реализации,Id организации
3d062e7f496f478fbd0ced3a7cfddeeb,ЛЕГО-22025,2022,25,eeb9d7441efd4b929932c3c0bea49eaf,2022-03-30,2022-03-31,26,26,EducationCompleted,,f95e55a065354dd488fbf5f61c3b82ca,24688da54501e501bfea9e1e4da982e2,011f0dc08c08467b90c5b9f4c742142a
36a84b01a53f49219e9577043c2e5946,ВЭМК-22017,2022,17,489f1cbb6fd7447aaab3dd8bc180b9e0,2022-02-04,2022-02-05,10,9,EducationCompleted,,56a811adc1d640218b8cc612fb1de616,24688da54501e501bfea9e1e4da982e2,011f0dc08c08467b90c5b9f4c742142a
ef77eded64c24f65be3c2a62cc83a551,ЭКОН-22024,2022,24,78e3a87db29f406699ac5be1e6c8bd4f,2022-01-26,2022-12-30,15,15,EducationInProgress,,60135fe6a2c648a8a7f87db540168448,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
1163dc40a5c4425f882dcc8b2c77149d,ЙДДВ-22012,2022,12,2064b3e76bbe42adbe155d8d07527e67,2022-03-01,2022-03-02,23,22,EducationCompleted,,37e8c0a3f413449d9ecbd54dcd23bd51,3d558de54501e710bfea9e1e1da952d3,011f0dc08c08467b90c5b9f4c742142a
e5106d9660284c82b70ec0c17a348f07,ПРБЕ-22018,2022,18,df98515ad3ed49fdbcf4fce08e170f91,2022-01-25,2022-12-09,15,15,EducationInProgress,,929e6b367c4244b1ad66a2f67eaad9c9,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
ddab174c66d141409aab4ea6dc26d3cc,СОДЗ-22083,2022,83,c23369a711df442f9ac77464b5056805,2022-06-16,2022-08-01,10,6,EducationCompleted,168,00785fce315543f18bdf68acd1d04e7c,12643a654501e500bfea9e1e1da982b1,f494af299dc5479ca5454630d08e0d8d
7a40eb7f5b79462da0b61add9bc0c41a,ОРИТ-22002,2022,2,a1330e10c51848c686132a4fbd5163a3,2022-01-21,2022-12-22,15,15,EducationInProgress,,bffdc65ed5d140fca2dc62997aa3d358,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
3a40b7af3b3044798eb3587aedd49a1e,МЗРУ-21163,2021,163,0eba5f35cd54436aa1dfa7ffc0d65036,2021-02-15,2021-04-20,15,15,EducationCompleted,,300fb91aa893485aae9671d6b49f628d,24688da54501e501bfea9e1e4da982e2,3b6a2fe437e04869a5846f98b6a74a61
a92b606fc5c9491bb50faf46f4c8ab03,ВИЗЖ-21135,2021,135,f72ec10067a443008bfb69053fbd1d8e,2021-11-16,2021-12-09,10,10,EducationCompleted,154,c3fb93d09b774d4980eb9078aa242934,24688da54501e501bfea9e1e4da982e2,f494af299dc5479ca5454630d08e0d8d
680394826ed847cdb0b8bed4e2aedb5c,МСФК-22021,2022,21,599a3b9b3a2641f38c6d935f340cb829,2022-04-20,2022-04-23,12,8,EducationCompleted,,fccc8594ce644330b9040fee6a8473c1,3d558de54501e710bfea9e1e1da952d3,92299301d3464f9989b4771985b56e0c
4c455c1551ef41fd8c2c317ac675340d,СТЕМ-22016,2022,16,f849befa88b34ae183ea0cfc62f28c29,2022-03-21,2022-03-24,13,13,EducationCompleted,,60867fba1f4d4c048b268d227790f026,3d558de54501e710bfea9e1e1da952d3,011f0dc08c08467b90c5b9f4c742142a
2bc0872f15384265a00ab72ae14b22a3,ПРОБ-21152,2021,152,fe3348c4ff0e43178bae8ad1c1f0528c,2021-12-10,2021-12-10,15,13,EducationCompleted,,34ba9b0b3d454c13addb3b7272fa1a57,3d558de54501e710bfea9e1e1da952d3,7bd32918f7684b0b8e793cd8eda248a8
08fdf4ea531c490383ee39933f1df6c4,МЕХО-21162,2021,162,59f351e0ed7f485ab66845ae45f094cb,2021-03-01,2021-06-02,25,25,EducationCompleted,,a7cefca69b4f4092b0ea461c3687400b,24688da54501e501bfea9e1e4da982e2,3b6a2fe437e04869a5846f98b6a74a61
05057e2a439c4804910180587ac15155,ПРПМ-22013,2022,13,59d949c622ef4bdbac2849dd12dc6b84,2022-04-19,2022-05-12,25,18,EducationCompleted,172,66ee93d090cb4d23a745e3755e9e2af1,12643a654501e500bfea9e1e1da982b1,92299301d3464f9989b4771985b56e0c
15c96a31f6494d288d3b817d8cf1d52e,ВВИБ-22006,2022,6,7c3ab9bb15934a7f8fb9022cc37da260,2022-01-18,2022-12-06,15,15,EducationInProgress,,1a0c208af34e4d88a1e686f738c01e14,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
ede56694a080491fba243fa1b33901ad,СИТО-22005,2022,5,e704a7ba637446c79fc373546485bfcb,2022-01-13,2022-12-15,15,15,EducationInProgress,,d6e11a2615414c60aba3ae6d2141fb2b,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
b74942938eff445bb882487427d8c0cd,ДОДП-22019,2022,19,c1de70b45b96402e9468001758a557df,2022-01-28,2022-12-27,15,15,EducationInProgress,,4c4c22e6a5044028bb58ae25e050833a,3d558de54501e710bfea9e1e1da952d3,76cbcf0076094917a7356e1ce015dd68
56a5600b9b824d789274c3718aba7127,СИДИ-22020,2022,20,551e67450f6448c2bf26b41d89ce79cf,2022-03-29,2022-03-30,25,25,EducationCompleted,,82fb01a05f73469f8acf78b288c9bd36,24688da54501e501bfea9e1e4da982e2,011f0dc08c08467b90c5b9f4c742142a
